"InstanceName","Solver","ActualRuntime","PredictedRuntime","Prediction_StandardError"
"sat/div2.c.20.smt2-stp212.cnf","abcdSAT_drup",4.889,3117.72667357002,2058.60001196611
"sat/div2.c.20.smt2-stp212.cnf","BeansAndEggs",4.14,3563.74065483235,2094.25981603533
"sat/div2.c.20.smt2-stp212.cnf","CHBR_glucose",3.612,2831.8691734714,2141.58495779474
"sat/div2.c.20.smt2-stp212.cnf","CHBR_glucose_tuned",3.742,3146.63393925049,2101.47949799317
"sat/div2.c.20.smt2-stp212.cnf","cmsat5_autotune2",28.177,3413.28302938856,2093.07759640598
"sat/div2.c.20.smt2-stp212.cnf","cmsat5_main2",31.25,3387.0198933925,2123.34956285159
"sat/div2.c.20.smt2-stp212.cnf","COMiniSatPSChandrasekharDRUP",5.136,3420.37491932939,2112.76733142261
"sat/div2.c.20.smt2-stp212.cnf","GHackCOMSPS_DRUP",3.059,3422.72681577909,2092.99572626426
"sat/div2.c.20.smt2-stp212.cnf","glucose",3.143,2695.61450295858,2190.2310365304
"sat/div2.c.20.smt2-stp212.cnf","glucose_hack_kiel_newScript",3.758,3057.16374299803,2148.47833599775
"sat/div2.c.20.smt2-stp212.cnf","Glucose_nbSat",4.934,3678.02797810651,1962.1134084609
"sat/div2.c.20.smt2-stp212.cnf","glue_alt",2.623,3504.74326449704,2053.34419333065
"sat/div2.c.20.smt2-stp212.cnf","glueminisat.2210.81.main",3.623,2928.3947086785,2154.47986746387
"sat/div2.c.20.smt2-stp212.cnf","gulch",7.414,3733.60856715976,1939.25591565811
"sat/div2.c.20.smt2-stp212.cnf","Lingelingbbcmain",17.386,3203.02716814596,2060.68986759805
"sat/div2.c.20.smt2-stp212.cnf","MapleCMS",34.025,3943.3770525641,1674.6796221076
"sat/div2.c.20.smt2-stp212.cnf","MapleCOMSPS_CHB_DRUP",3.487,3198.07447357002,2173.71808557942
"sat/div2.c.20.smt2-stp212.cnf","MapleCOMSPS_DRUP",3.602,3332.77596163708,1871.05833703245
"sat/div2.c.20.smt2-stp212.cnf","MapleCOMSPS_LRB_DRUP",4.046,3223.26918382643,2179.13265251891
"sat/div2.c.20.smt2-stp212.cnf","MapleGlucose",6.251,3315.11699714004,1822.92713340496
"sat/div2.c.20.smt2-stp212.cnf","Riss6",39.045,3862.71734161736,1821.80952415829
"sat/div2.c.20.smt2-stp212.cnf","Splatz06vmain",6.753,3825.9463638067,1872.72314568699
"sat/div2.c.20.smt2-stp212.cnf","tb_glucose",2.933,3263.88599684418,2055.11759566406
"sat/div2.c.20.smt2-stp212.cnf","tc_glucose",2.886,2951.57832504931,2232.41310545607
"sat/div2.c.20.smt2-stp212.cnf","YALSAT03r",5000,5000,4.60129163671024e-13
