"InstanceName","Solver","ActualRuntime","PredictedRuntime","Prediction_StandardError"
"sat/ak128simpbbg2msisc.cnf","abcdSAT_drup",5000,4243.93750421456,1279.05221211205
"sat/ak128simpbbg2msisc.cnf","BeansAndEggs",5000,3972.67887691571,1872.82031775107
"sat/ak128simpbbg2msisc.cnf","CHBR_glucose",5000,3199.84396398468,1760.98680562012
"sat/ak128simpbbg2msisc.cnf","CHBR_glucose_tuned",5000,3304.15144128352,1854.69771766797
"sat/ak128simpbbg2msisc.cnf","cmsat5_autotune2",5000,4146.94717758621,1712.73983151037
"sat/ak128simpbbg2msisc.cnf","cmsat5_main2",5000,4341.60586159004,1537.82980435046
"sat/ak128simpbbg2msisc.cnf","COMiniSatPSChandrasekharDRUP",5000,4100.22591522988,1775.72317695659
"sat/ak128simpbbg2msisc.cnf","GHackCOMSPS_DRUP",5000,4083.84382519157,1801.89181405483
"sat/ak128simpbbg2msisc.cnf","glucose",5000,3616.35381925287,1804.7546251404
"sat/ak128simpbbg2msisc.cnf","glucose_hack_kiel_newScript",964.839,3952.6668960728,1877.22124892967
"sat/ak128simpbbg2msisc.cnf","Glucose_nbSat",5000,4222.19910938697,1710.70125106358
"sat/ak128simpbbg2msisc.cnf","glue_alt",5000,3763.45423582375,1810.97382669104
"sat/ak128simpbbg2msisc.cnf","glueminisat.2210.81.main",2113.629,3725.96305680077,1574.83042374182
"sat/ak128simpbbg2msisc.cnf","gulch",5000,4090.51110670498,1810.40457293788
"sat/ak128simpbbg2msisc.cnf","Lingelingbbcmain",5000,4110.83580670498,1732.38855345604
"sat/ak128simpbbg2msisc.cnf","MapleCMS",5000,4144.38854022988,1731.01736934946
"sat/ak128simpbbg2msisc.cnf","MapleCOMSPS_CHB_DRUP",3652.233,3921.26578275862,1823.48094516631
"sat/ak128simpbbg2msisc.cnf","MapleCOMSPS_DRUP",2627.155,3638.24584224138,1393.30690247903
"sat/ak128simpbbg2msisc.cnf","MapleCOMSPS_LRB_DRUP",5000,4048.60644358238,1805.2367369841
"sat/ak128simpbbg2msisc.cnf","MapleGlucose",5000,4398.70178534483,1322.08078833368
"sat/ak128simpbbg2msisc.cnf","Riss6",34.62,1373.78103831418,2040.88617327151
"sat/ak128simpbbg2msisc.cnf","Splatz06vmain",5000,4244.22602720306,1643.17361787386
"sat/ak128simpbbg2msisc.cnf","tb_glucose",5000,3997.07070086207,1718.77272988868
"sat/ak128simpbbg2msisc.cnf","tc_glucose",5000,3815.97805660919,1819.03575074987
"sat/ak128simpbbg2msisc.cnf","YALSAT03r",5000,3625.61939597701,2009.69620546503
