"InstanceName","Solver","ActualRuntime","PredictedRuntime","Prediction_StandardError"
"UTI-20-10t1.cnf","glucose_2.0",1.05,1500.645584,1555.07898660748
"UTI-20-10t1.cnf","glueminisat.2.2.5",2.14,2594.75635333333,1951.68569769151
"UTI-20-10t1.cnf","lingeling.587f.4882048.110513",5.32,1627.02999066667,1486.17828988443
"UTI-20-10t1.cnf","minisathackcir_minisat_2011.05.13_simp_",1.51,2135.99414666667,2235.10629427978
"UTI-20-10t1.cnf","minisathackcontrasat_2011.03.02",1.99,1709.48620723809,1899.01778671535
"UTI-20-10t1.cnf","minisathackEBMiniSAT_2011.03.02",2.08,1909.56832933333,2138.92920242229
"UTI-20-10t1.cnf","minisathackLR_GL_SHR_2011.03.02",2.12,2752.317612,2087.63344811745
"UTI-20-10t1.cnf","minisathackMiniSAT_2.2.0.agile.26",3.63,1557.53230933333,2065.53957479052
"UTI-20-10t1.cnf","minisathackminisat_psm_2011.04.01",3.81,1298.63783866667,1668.87657026392
"UTI-20-10t1.cnf","minisathackreferenceminisat_2.2.0",7.05,2454.83942933333,2250.26410366663
"UTI-20-10t1.cnf","MPhaseSAT64",6.04,1784.01449866667,2017.04752209028
"UTI-20-10t1.cnf","rcl_2011.04.01",4,2169.66844933333,2150.5232817206
"UTI-20-10t1.cnf","RestartSAT_B95",4.07,2130.21098666667,1993.56587422155
"UTI-20-10t1.cnf","SAT09referencesolverprecosat_236",13.95,1381.9054392381,1658.18526169407
