"InstanceName","Solver","ActualRuntime","PredictedRuntime","Prediction_StandardError"
"UCG-20-5p1.cnf","glucose_2.0",255.76,2396.45193010753,1530.47295167386
"UCG-20-5p1.cnf","glueminisat.2.2.5",399.83,1337.85045698925,1157.48031590617
"UCG-20-5p1.cnf","lingeling.587f.4882048.110513",169.06,1233.04293763441,1048.78044429055
"UCG-20-5p1.cnf","minisathackcir_minisat_2011.05.13_simp_",278.2,4044.5758,1787.37785576389
"UCG-20-5p1.cnf","minisathackcontrasat_2011.03.02",266.03,1467.89355376344,1445.03447657349
"UCG-20-5p1.cnf","minisathackEBMiniSAT_2011.03.02",236.87,1780.68933548387,1523.69306814995
"UCG-20-5p1.cnf","minisathackLR_GL_SHR_2011.03.02",292.63,3394.44692795699,1635.70476920386
"UCG-20-5p1.cnf","minisathackMiniSAT_2.2.0.agile.26",227.92,2988.79118817204,2026.03162648598
"UCG-20-5p1.cnf","minisathackminisat_psm_2011.04.01",210.16,1768.96100107527,1493.24756108429
"UCG-20-5p1.cnf","minisathackreferenceminisat_2.2.0",359.03,3067.89798172043,1984.01296443581
"UCG-20-5p1.cnf","MPhaseSAT64",180.91,2018.14667526882,1344.66944726571
"UCG-20-5p1.cnf","rcl_2011.04.01",127.72,2560.28185268817,1760.09033750026
"UCG-20-5p1.cnf","RestartSAT_B95",215.1,2673.29176236559,1620.43401371374
"UCG-20-5p1.cnf","SAT09referencesolverprecosat_236",121.8,1758.67257096774,989.970473982303
