"InstanceName","Solver","ActualRuntime","PredictedRuntime","Prediction_StandardError"
"velev-npe-10-9dlx-b71.cnf","glucose_2.0",326.34,1410.5888536036,1912.34573488912
"velev-npe-10-9dlx-b71.cnf","glueminisat.2.2.5",32.56,771.42079954955,1260.06068670624
"velev-npe-10-9dlx-b71.cnf","lingeling.587f.4882048.110513",43.11,1448.08422522523,1891.4900025701
"velev-npe-10-9dlx-b71.cnf","minisathackcir_minisat_2011.05.13_simp_",96.54,1041.17024099099,1605.56958445981
"velev-npe-10-9dlx-b71.cnf","minisathackcontrasat_2011.03.02",54.93,1346.96928603604,1688.84565299947
"velev-npe-10-9dlx-b71.cnf","minisathackEBMiniSAT_2011.03.02",371.43,1757.96093693694,2068.15080472746
"velev-npe-10-9dlx-b71.cnf","minisathackLR_GL_SHR_2011.03.02",53.43,1164.55726576577,1641.62637836624
"velev-npe-10-9dlx-b71.cnf","minisathackMiniSAT_2.2.0.agile.26",40.94,1358.72435135135,1822.33210981244
"velev-npe-10-9dlx-b71.cnf","minisathackminisat_psm_2011.04.01",13.73,1538.71977027027,1989.24101181619
"velev-npe-10-9dlx-b71.cnf","minisathackreferenceminisat_2.2.0",55.14,1577.68437387387,2023.21831181706
"velev-npe-10-9dlx-b71.cnf","MPhaseSAT64",161.04,1620.90268243243,1886.60308867769
"velev-npe-10-9dlx-b71.cnf","rcl_2011.04.01",247.23,1589.99177927928,2031.32983641663
"velev-npe-10-9dlx-b71.cnf","RestartSAT_B95",144.34,1469.83751576577,1915.96683482749
"velev-npe-10-9dlx-b71.cnf","SAT09referencesolverprecosat_236",707.81,1848.28220945946,2020.83985944365
