"InstanceName","Solver","ActualRuntime","PredictedRuntime","Prediction_StandardError"
"ibm-2002-30r-k85.cnf","glucose_2.0",580.96,655.981912037037,943.133176061412
"ibm-2002-30r-k85.cnf","glueminisat.2.2.5",5000,3336.93971990741,2022.02283796071
"ibm-2002-30r-k85.cnf","lingeling.587f.4882048.110513",374.62,3220.45241550926,1993.64324098271
"ibm-2002-30r-k85.cnf","minisathackcir_minisat_2011.05.13_simp_",330.82,651.334892361111,1038.54349707752
"ibm-2002-30r-k85.cnf","minisathackcontrasat_2011.03.02",1030.08,945.698511574074,968.129173859401
"ibm-2002-30r-k85.cnf","minisathackEBMiniSAT_2011.03.02",56.81,343.884416666667,930.294183321901
"ibm-2002-30r-k85.cnf","minisathackLR_GL_SHR_2011.03.02",5000,3355.04693634259,2062.49786980866
"ibm-2002-30r-k85.cnf","minisathackMiniSAT_2.2.0.agile.26",32.86,330.08433912037,1015.72078826447
"ibm-2002-30r-k85.cnf","minisathackminisat_psm_2011.04.01",281.6,476.830128472222,967.210254129852
"ibm-2002-30r-k85.cnf","minisathackreferenceminisat_2.2.0",312.57,728.375493055556,1229.64316985641
"ibm-2002-30r-k85.cnf","MPhaseSAT64",746.86,328.150878472222,507.388137351802
"ibm-2002-30r-k85.cnf","rcl_2011.04.01",719.75,1006.77844212963,1258.20402393484
"ibm-2002-30r-k85.cnf","RestartSAT_B95",377.76,627.574344907408,892.136314062112
"ibm-2002-30r-k85.cnf","SAT09referencesolverprecosat_236",170.2,980.652821759259,918.517741876647
