"InstanceName","Solver","ActualRuntime","PredictedRuntime","Prediction_StandardError"
"sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf","abcdsat_r18",112.494,929.845819966158,516.847920737397
"sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf","CaDiCaL",1.239,2585.61114153976,1179.95961045415
"sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf","Candy",540.77,4875.82949390863,613.976986274582
"sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf","cms55.main.all4fixed",142.751,480.827857614213,289.27818559199
"sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf","COMiniSatPS_Pulsar_drup",110.102,1433.28729060914,499.616938506417
"sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf","expGlucose",809.499,4464.56141759729,1252.56946615025
"sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf","expMC_LRB_VSIDS_Switch",38.592,2825.30653874788,1561.30758233549
"sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf","expMC_LRB_VSIDS_Switch_2500",128.234,605.356643993232,485.1317001922
"sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf","expMC_VSIDS_LRB_Switch_2500",2498.34,2683.45687005076,210.708943875605
"sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf","GHackCOMSPS_drup",86.646,1974.42891615905,975.097605511066
"sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf","glu_mix",377.825,4423.21275905246,812.308726888266
"sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf","Glucose_Hack_Kiel_fastBVE",1723.706,4682.18051590525,895.438654567374
"sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf","glucose.3.0_PADC_10",536.199,4726.98058113367,897.291953648457
"sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf","glucose.3.0_PADC_3",527.826,4797.00870837564,821.081948350713
"sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf","glucose3.0",1724.494,4647.94170287648,943.463938965045
"sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf","glucose4.2.1",375.93,4761.3203251269,690.846005892777
"sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf","gluHack",317.465,4569.0987394247,1087.0457908648
"sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf","inIDGlucose",1006.916,4748.41882597293,928.075041258196
"sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf","Lingeling",49.662,4465.00185744501,1265.89392963901
"sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf","Maple_CM",86.97,383.001073096446,181.626178541579
"sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf","Maple_CM_Dist",110.605,304.824319204738,273.675324253975
"sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf","Maple_CM_ordUIP",112.122,406.908297800338,481.847886695115
"sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf","Maple_CM_ordUIP.",112.527,455.015445516074,513.776259755162
"sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf","Maple_LCM_M1",68.722,253.511690186125,167.810306970516
"sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf","Maple_LCM_Scavel_200_fix2",77.115,406.701482402707,194.275188208154
"sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf","Maple_LCM_Scavel_fix2",76.661,263.429127241963,138.559727540546
"sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf","Maple_LCM.BCrestart",104.878,656.909485448393,722.490488074703
"sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf","Maple_LCM.BCrestart_M1",71.642,586.479921150592,529.703964239347
"sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf","MapleCOMSPS_CHB_VSIDS_drup",313.698,4723.86027884941,773.097925103583
"sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf","MapleCOMSPS_LRB_VSIDS_2_fix",89.613,598.906206683586,414.486783823688
"sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf","MapleCOMSPS_LRB_VSIDS_drup",94.882,1772.87666167513,564.447226864916
"sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf","MapleLCMDistChronoBT",66.598,370.824290186125,443.739612952334
"sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf","Minisat.v2.2.0.106.ge2dd095",2.494,3099.32869145516,1475.06664479793
"sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf","Riss7.1.fix",6.962,4789.0837822335,879.882163812825
"sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf","smallsat",137.232,1146.48215786802,1145.66364232942
"sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf","Sparrow2Riss.2018.fixfix",549.872,4832.5528535533,685.778803176379
"sat/cms-scheel-md5-families-r24-c7-p1-3-6-10-11-14-15.cnf","YalSAT",5000,5000,0
