"InstanceName","Solver","ActualRuntime","PredictedRuntime","Prediction_StandardError"
"sat/satcoin-genesis-SAT-4096.cnf","abcdsat_r18",5000,4890.12022374101,634.225116484145
"sat/satcoin-genesis-SAT-4096.cnf","CaDiCaL",136.138,240.56978968825,174.089620175761
"sat/satcoin-genesis-SAT-4096.cnf","Candy",5000,3935.34788333333,1918.89291100803
"sat/satcoin-genesis-SAT-4096.cnf","cms55.main.all4fixed",1482.792,3509.11935623501,1683.14294969563
"sat/satcoin-genesis-SAT-4096.cnf","COMiniSatPS_Pulsar_drup",5000,5000,0
"sat/satcoin-genesis-SAT-4096.cnf","expGlucose",117.795,77.8680784172662,78.7441162608301
"sat/satcoin-genesis-SAT-4096.cnf","expMC_LRB_VSIDS_Switch",65.279,2946.78442805755,2240.29679416418
"sat/satcoin-genesis-SAT-4096.cnf","expMC_LRB_VSIDS_Switch_2500",5000,4586.67465047962,954.240937045892
"sat/satcoin-genesis-SAT-4096.cnf","expMC_VSIDS_LRB_Switch_2500",115.137,605.161254916067,335.15378883607
"sat/satcoin-genesis-SAT-4096.cnf","GHackCOMSPS_drup",5000,5000,4.77257133600508e-13
"sat/satcoin-genesis-SAT-4096.cnf","glu_mix",5000,5000,4.89655487452333e-13
"sat/satcoin-genesis-SAT-4096.cnf","Glucose_Hack_Kiel_fastBVE",5000,5000,6.83766676553307e-13
"sat/satcoin-genesis-SAT-4096.cnf","glucose.3.0_PADC_10",5000,5000,3.37471755538573e-13
"sat/satcoin-genesis-SAT-4096.cnf","glucose.3.0_PADC_3",5000,5000,3.09685321829874e-13
"sat/satcoin-genesis-SAT-4096.cnf","glucose3.0",5000,5000,1.89642754828196e-13
"sat/satcoin-genesis-SAT-4096.cnf","glucose4.2.1",53.202,5000,7.93332561432769e-13
"sat/satcoin-genesis-SAT-4096.cnf","gluHack",5000,5000,4.83496053740232e-13
"sat/satcoin-genesis-SAT-4096.cnf","inIDGlucose",5000,3079.3517441247,2260.59696080265
"sat/satcoin-genesis-SAT-4096.cnf","Lingeling",72.307,185.585900839329,83.9144817231786
"sat/satcoin-genesis-SAT-4096.cnf","Maple_CM",5000,4086.10152374101,1660.89326427933
"sat/satcoin-genesis-SAT-4096.cnf","Maple_CM_Dist",5000,4784.2832410072,1019.29980232949
"sat/satcoin-genesis-SAT-4096.cnf","Maple_CM_ordUIP",5000,4827.47977098321,864.224134854056
"sat/satcoin-genesis-SAT-4096.cnf","Maple_CM_ordUIP.",5000,4822.87569664269,840.968856462514
"sat/satcoin-genesis-SAT-4096.cnf","Maple_LCM_M1",5000,5000,4.1692662410109e-13
"sat/satcoin-genesis-SAT-4096.cnf","Maple_LCM_Scavel_200_fix2",5000,4581.44213932854,1230.61070934054
"sat/satcoin-genesis-SAT-4096.cnf","Maple_LCM_Scavel_fix2",5000,4782.64327757794,878.893078318947
"sat/satcoin-genesis-SAT-4096.cnf","Maple_LCM.BCrestart",5000,4865.16224100719,586.394777724393
"sat/satcoin-genesis-SAT-4096.cnf","Maple_LCM.BCrestart_M1",5000,4270.64042314149,1375.66685302096
"sat/satcoin-genesis-SAT-4096.cnf","MapleCOMSPS_CHB_VSIDS_drup",5000,5000,0
"sat/satcoin-genesis-SAT-4096.cnf","MapleCOMSPS_LRB_VSIDS_2_fix",5000,5000,6.56941773299527e-13
"sat/satcoin-genesis-SAT-4096.cnf","MapleCOMSPS_LRB_VSIDS_drup",5000,5000,3.37471755538573e-13
"sat/satcoin-genesis-SAT-4096.cnf","MapleLCMDistChronoBT",2685.807,2732.71155107914,975.292608779587
"sat/satcoin-genesis-SAT-4096.cnf","Minisat.v2.2.0.106.ge2dd095",5000,5000,8.86127629455484e-13
"sat/satcoin-genesis-SAT-4096.cnf","Riss7.1.fix",3.31,3.36491031175056,0.129978084635417
"sat/satcoin-genesis-SAT-4096.cnf","smallsat",5000,4846.11547458034,675.761915395264
"sat/satcoin-genesis-SAT-4096.cnf","Sparrow2Riss.2018.fixfix",907.343,906.922036570744,0.156511042217659
"sat/satcoin-genesis-SAT-4096.cnf","YalSAT",5000,4964.53327338129,418.146539970605
