"InstanceName","Solver","ActualRuntime","PredictedRuntime","Prediction_StandardError"
"sat/dist10.c.cnf","abcdsat_r18",120.628,145.119717816092,48.0515390093392
"sat/dist10.c.cnf","CaDiCaL",84.956,89.5215206896551,9.43346437664704
"sat/dist10.c.cnf","Candy",186.356,525.394837931035,1007.27913380545
"sat/dist10.c.cnf","cms55.main.all4fixed",85.335,375.714937356322,1011.17591337415
"sat/dist10.c.cnf","COMiniSatPS_Pulsar_drup",151.136,283.514545402299,365.067679500216
"sat/dist10.c.cnf","expGlucose",349.527,304.320728160919,39.4056600684017
"sat/dist10.c.cnf","expMC_LRB_VSIDS_Switch",190.634,282.321486781609,436.554673776253
"sat/dist10.c.cnf","expMC_LRB_VSIDS_Switch_2500",141.713,171.874079310345,72.4392984473174
"sat/dist10.c.cnf","expMC_VSIDS_LRB_Switch_2500",213.247,250.629854022989,222.159378259203
"sat/dist10.c.cnf","GHackCOMSPS_drup",255.763,365.568108045977,458.062660276686
"sat/dist10.c.cnf","glu_mix",268.938,234.882761494253,10.7128868589138
"sat/dist10.c.cnf","Glucose_Hack_Kiel_fastBVE",303.572,411.194846551724,882.631900045057
"sat/dist10.c.cnf","glucose.3.0_PADC_10",378.088,521.917597126437,595.6929529684
"sat/dist10.c.cnf","glucose.3.0_PADC_3",381.031,690.16852816092,905.231814394966
"sat/dist10.c.cnf","glucose3.0",286.575,839.285701149425,1405.59091907143
"sat/dist10.c.cnf","glucose4.2.1",252.136,259.001246551724,29.3082559913769
"sat/dist10.c.cnf","gluHack",400.909,448.495456321839,210.297085608986
"sat/dist10.c.cnf","inIDGlucose",260.333,1656.81514367816,1760.06588263601
"sat/dist10.c.cnf","Lingeling",129.907,192.960382183908,362.935744993925
"sat/dist10.c.cnf","Maple_CM",122.587,176.314924137931,230.443406512003
"sat/dist10.c.cnf","Maple_CM_Dist",121.314,191.525565517241,370.099910997001
"sat/dist10.c.cnf","Maple_CM_ordUIP",122.257,291.244435057471,905.657658564844
"sat/dist10.c.cnf","Maple_CM_ordUIP.",121.665,124.466434482759,19.6348141921718
"sat/dist10.c.cnf","Maple_LCM_M1",136.326,201.068763218391,357.537225196317
"sat/dist10.c.cnf","Maple_LCM_Scavel_200_fix2",181.811,178.170736781609,182.451615049175
"sat/dist10.c.cnf","Maple_LCM_Scavel_fix2",162.12,209.21306091954,305.732087440888
"sat/dist10.c.cnf","Maple_LCM.BCrestart",144.195,158.636882183908,113.644856603434
"sat/dist10.c.cnf","Maple_LCM.BCrestart_M1",132.156,138.219187356322,3.32280829631216
"sat/dist10.c.cnf","MapleCOMSPS_CHB_VSIDS_drup",194.767,190.030779310345,16.4532198379764
"sat/dist10.c.cnf","MapleCOMSPS_LRB_VSIDS_2_fix",178.784,173.05274137931,6.07357896714379
"sat/dist10.c.cnf","MapleCOMSPS_LRB_VSIDS_drup",188.721,288.697443103448,362.725370412142
"sat/dist10.c.cnf","MapleLCMDistChronoBT",164.655,274.832326436782,672.422759509085
"sat/dist10.c.cnf","Minisat.v2.2.0.106.ge2dd095",412.017,722.503306321839,144.852742587338
"sat/dist10.c.cnf","Riss7.1.fix",407.637,4503.80598275862,1280.84198756751
"sat/dist10.c.cnf","smallsat",104.19,108.211626436782,7.15337399619896
"sat/dist10.c.cnf","Sparrow2Riss.2018.fixfix",656.496,4713.91859137931,970.538333205104
"sat/dist10.c.cnf","YalSAT",5000,5000,1.46852920487973e-12
