"InstanceName","Solver","ActualRuntime","PredictedRuntime","Prediction_StandardError"
"sat/sdiv15prop.cnf","abcdsat_r18",127.6,846.202999393939,1417.45180246531
"sat/sdiv15prop.cnf","CaDiCaL",195.164,1025.77733712121,1212.41428942769
"sat/sdiv15prop.cnf","Candy",618.339,2286.4222080303,1633.82447780169
"sat/sdiv15prop.cnf","cms55.main.all4fixed",248.253,1297.39568287879,1376.9009232585
"sat/sdiv15prop.cnf","COMiniSatPS_Pulsar_drup",334.435,1795.9364569697,1454.84790213259
"sat/sdiv15prop.cnf","expGlucose",443.915,1744.31529333333,1224.09960025775
"sat/sdiv15prop.cnf","expMC_LRB_VSIDS_Switch",285.391,1321.25392242424,1096.91608226881
"sat/sdiv15prop.cnf","expMC_LRB_VSIDS_Switch_2500",132.587,775.208626363636,1232.14163076063
"sat/sdiv15prop.cnf","expMC_VSIDS_LRB_Switch_2500",486.983,2008.15644909091,1189.76557855052
"sat/sdiv15prop.cnf","GHackCOMSPS_drup",338.862,1833.94391469697,1530.5709544825
"sat/sdiv15prop.cnf","glu_mix",227.173,977.143984242424,1305.08318032667
"sat/sdiv15prop.cnf","Glucose_Hack_Kiel_fastBVE",382.38,1553.04438,1341.12851631948
"sat/sdiv15prop.cnf","glucose.3.0_PADC_10",431.804,2005.63023530303,1531.91830345503
"sat/sdiv15prop.cnf","glucose.3.0_PADC_3",440.322,1933.3172319697,1513.24218401017
"sat/sdiv15prop.cnf","glucose3.0",435.189,1804.42292106061,1339.82981525805
"sat/sdiv15prop.cnf","glucose4.2.1",313.146,1188.26551469697,1115.06808712264
"sat/sdiv15prop.cnf","gluHack",329.946,1754.40852484848,1224.29032181465
"sat/sdiv15prop.cnf","inIDGlucose",479.223,1968.20560636364,1280.41629368278
"sat/sdiv15prop.cnf","Lingeling",225.717,920.851668787878,1108.72552261122
"sat/sdiv15prop.cnf","Maple_CM",157.065,930.840070909091,1305.89109160829
"sat/sdiv15prop.cnf","Maple_CM_Dist",163.619,915.096647575757,1412.69917870654
"sat/sdiv15prop.cnf","Maple_CM_ordUIP",157.244,840.666366969697,1292.69690181181
"sat/sdiv15prop.cnf","Maple_CM_ordUIP.",156.556,785.409412878788,1263.29466392209
"sat/sdiv15prop.cnf","Maple_LCM_M1",146.538,940.753421212121,1306.79553769516
"sat/sdiv15prop.cnf","Maple_LCM_Scavel_200_fix2",153.725,959.790492272727,1454.49611496157
"sat/sdiv15prop.cnf","Maple_LCM_Scavel_fix2",151.904,1157.17592833333,1636.44585786531
"sat/sdiv15prop.cnf","Maple_LCM.BCrestart",142.978,758.912548484849,1127.52282807684
"sat/sdiv15prop.cnf","Maple_LCM.BCrestart_M1",151.212,712.157109848485,1145.22732789649
"sat/sdiv15prop.cnf","MapleCOMSPS_CHB_VSIDS_drup",283.522,1387.52997424242,1324.63261206447
"sat/sdiv15prop.cnf","MapleCOMSPS_LRB_VSIDS_2_fix",231.094,1010.79404727273,1079.25220223216
"sat/sdiv15prop.cnf","MapleCOMSPS_LRB_VSIDS_drup",284.724,1459.89582848485,1295.21485142109
"sat/sdiv15prop.cnf","MapleLCMDistChronoBT",143.693,800.969306212121,1243.07405743415
"sat/sdiv15prop.cnf","Minisat.v2.2.0.106.ge2dd095",1224.659,3127.78878681818,1391.27456567019
"sat/sdiv15prop.cnf","Riss7.1.fix",647.867,1958.75145939394,1433.56621237885
"sat/sdiv15prop.cnf","smallsat",133.971,840.047781818182,1388.97255758898
"sat/sdiv15prop.cnf","Sparrow2Riss.2018.fixfix",723.783,1970.6125080303,1485.32688566094
"sat/sdiv15prop.cnf","YalSAT",5000,5000,1.87648853262411e-12
