"InstanceName","Solver","ActualRuntime","PredictedRuntime","Prediction_StandardError"
"sat/satcoin-genesis-SAT-5.cnf","abcdsat_r18",0.943,2290.98400649895,2281.69533701231
"sat/satcoin-genesis-SAT-5.cnf","CaDiCaL",0.589,12.4908406480721,113.665492771877
"sat/satcoin-genesis-SAT-5.cnf","Candy",1.763,3.2876789308176,1.13827743547152
"sat/satcoin-genesis-SAT-5.cnf","cms55.main.all4fixed",28.656,68.0422456737184,59.0076029929693
"sat/satcoin-genesis-SAT-5.cnf","COMiniSatPS_Pulsar_drup",5000,5000,0
"sat/satcoin-genesis-SAT-5.cnf","expGlucose",63.936,202.385741022634,160.18429998818
"sat/satcoin-genesis-SAT-5.cnf","expMC_LRB_VSIDS_Switch",2.07,73.2632858490566,100.916566678738
"sat/satcoin-genesis-SAT-5.cnf","expMC_LRB_VSIDS_Switch_2500",386.018,2938.81852085954,517.543911376905
"sat/satcoin-genesis-SAT-5.cnf","expMC_VSIDS_LRB_Switch_2500",2.014,141.540135429769,266.193816721066
"sat/satcoin-genesis-SAT-5.cnf","GHackCOMSPS_drup",5000,5000,0
"sat/satcoin-genesis-SAT-5.cnf","glu_mix",5000,5000,6.90227607581646e-13
"sat/satcoin-genesis-SAT-5.cnf","Glucose_Hack_Kiel_fastBVE",5000,5000,0
"sat/satcoin-genesis-SAT-5.cnf","glucose.3.0_PADC_10",5000,5000,0
"sat/satcoin-genesis-SAT-5.cnf","glucose.3.0_PADC_3",5000,5000,7.23555134914686e-14
"sat/satcoin-genesis-SAT-5.cnf","glucose3.0",5000,5000,5.11630742460522e-13
"sat/satcoin-genesis-SAT-5.cnf","glucose4.2.1",5000,5000,4.21901518495584e-13
"sat/satcoin-genesis-SAT-5.cnf","gluHack",5000,5000,0
"sat/satcoin-genesis-SAT-5.cnf","inIDGlucose",0.77,58.0115948637316,506.092792726916
"sat/satcoin-genesis-SAT-5.cnf","Lingeling",31.015,29.7224742138364,2.52314689075431
"sat/satcoin-genesis-SAT-5.cnf","Maple_CM",1.951,1875.34190545073,2222.96221943428
"sat/satcoin-genesis-SAT-5.cnf","Maple_CM_Dist",1.785,1992.60734528302,2242.25947043853
"sat/satcoin-genesis-SAT-5.cnf","Maple_CM_ordUIP",1.864,2312.22669444444,2338.93616836602
"sat/satcoin-genesis-SAT-5.cnf","Maple_CM_ordUIP.",1.861,1605.00929454927,2195.80450756503
"sat/satcoin-genesis-SAT-5.cnf","Maple_LCM_M1",5000,5000,2.60881513956017e-13
"sat/satcoin-genesis-SAT-5.cnf","Maple_LCM_Scavel_200_fix2",2.248,44.645739937107,407.741475445992
"sat/satcoin-genesis-SAT-5.cnf","Maple_LCM_Scavel_fix2",2.42,36.5710905810123,396.139559488317
"sat/satcoin-genesis-SAT-5.cnf","Maple_LCM.BCrestart",875.002,4706.99632044025,928.393352126426
"sat/satcoin-genesis-SAT-5.cnf","Maple_LCM.BCrestart_M1",5000,5000,5.01293702299836e-13
"sat/satcoin-genesis-SAT-5.cnf","MapleCOMSPS_CHB_VSIDS_drup",5000,5000,7.62312637255978e-13
"sat/satcoin-genesis-SAT-5.cnf","MapleCOMSPS_LRB_VSIDS_2_fix",5000,5000,0
"sat/satcoin-genesis-SAT-5.cnf","MapleCOMSPS_LRB_VSIDS_drup",5000,5000,7.23555134914686e-14
"sat/satcoin-genesis-SAT-5.cnf","MapleLCMDistChronoBT",2.157,415.438904192872,943.621874338879
"sat/satcoin-genesis-SAT-5.cnf","Minisat.v2.2.0.106.ge2dd095",5000,5000,5.11630742460522e-13
"sat/satcoin-genesis-SAT-5.cnf","Riss7.1.fix",3.463,3.89273689727466,0.46757286346133
"sat/satcoin-genesis-SAT-5.cnf","smallsat",2.691,5000,0
"sat/satcoin-genesis-SAT-5.cnf","Sparrow2Riss.2018.fixfix",906.853,907.23009654088,0.344332127639472
"sat/satcoin-genesis-SAT-5.cnf","YalSAT",5000,5000,6.97771302744037e-13
