"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"blocks-blocks-37-1130-NOTKNOWN.cnf","glucose_2.0",657.04,169.493887820513,263.045752818368,700.29,307.33,1,"Inf"
"blocks-blocks-37-1130-NOTKNOWN.cnf","MPhaseSAT64",635.79,260.836634615385,306.334628262296,655.16,307.33,2,"Inf"
"blocks-blocks-37-1130-NOTKNOWN.cnf","minisathackLR_GL_SHR_2011.03.02",959.74,207.820477564103,415.536378020898,1031.2,307.33,3,"Inf"
"blocks-blocks-37-1130-NOTKNOWN.cnf","RestartSAT_B95",616.31,265.16242948718,448.533558939675,749.73,307.33,4,"Inf"
"blocks-blocks-37-1130-NOTKNOWN.cnf","lingeling.587f.4882048.110513",466.25,286.220878205128,721.22053227571,531.57,307.33,5,"531.57"
"blocks-blocks-37-1130-NOTKNOWN.cnf","minisathackreferenceminisat_2.2.0",1236.05,463.047208333333,671.350424937895,1325.66,307.33,6,"Inf"
"blocks-blocks-37-1130-NOTKNOWN.cnf","rcl_2011.04.01",640.95,361.142926282051,789.505694575921,715.52,307.33,7,"715.52"
"blocks-blocks-37-1130-NOTKNOWN.cnf","minisathackminisat_psm_2011.04.01",1186.85,372.941503205128,779.767660753621,1307.43,307.33,8,"Inf"
"blocks-blocks-37-1130-NOTKNOWN.cnf","minisathackcir_minisat_2011.05.13_simp_",911.34,464.847977564103,717.636740831367,1028.12,307.33,1,"1460.65964063888"
"blocks-blocks-37-1130-NOTKNOWN.cnf","minisathackcontrasat_2011.03.02",1410.81,454.625894230769,777.715094709333,1564.13,307.33,2,"Inf"
"blocks-blocks-37-1130-NOTKNOWN.cnf","minisathackMiniSAT_2.2.0.agile.26",1400.32,466.836791666667,769.743142992025,1548.15,307.33,3,"Inf"
"blocks-blocks-37-1130-NOTKNOWN.cnf","minisathackEBMiniSAT_2011.03.02",1304.12,516.771618589744,845.980488255926,960.54,307.33,4,"1674.23598842685"
"blocks-blocks-37-1130-NOTKNOWN.cnf","SAT09referencesolverprecosat_236",307.33,484.63403525641,990.488317190816,356.03,307.33,5,"Inf"
"blocks-blocks-37-1130-NOTKNOWN.cnf","glueminisat.2.2.5",633.83,425.293669871795,1163.79947638896,694.63,307.33,6,"1829.02763327123"
