"InstanceName","Solver","SequentialRuntime","PredictedRuntime","Prediction_StandardError","ParallelRuntime","VBSRuntime","cores","ResultingTime"
"sat/barman-pfile08-030.sas.cr.27.cnf","cmsat5_autotune2",9.678,798.444797327044,1476.29092649747,9.78134994867276,7.206,1,"9.78134994867276"
"sat/barman-pfile08-030.sas.cr.27.cnf","MapleCOMSPS_CHB_DRUP",34.526,754.927699842767,1541.2340186356,34.8670959073994,7.206,2,"34.8670959073994"
"sat/barman-pfile08-030.sas.cr.27.cnf","MapleCOMSPS_LRB_DRUP",35.085,840.496664622641,1486.0006740172,35.6457451923552,7.206,3,"35.6457451923552"
"sat/barman-pfile08-030.sas.cr.27.cnf","GHackCOMSPS_DRUP",36.275,785.806526886792,1591.01551780724,36.3836816168962,7.206,4,"36.3836816168962"
"sat/barman-pfile08-030.sas.cr.27.cnf","tc_glucose",9.675,824.691296698113,1668.71070161506,9.43964030172797,7.206,5,"9.43964030172797"
"sat/barman-pfile08-030.sas.cr.27.cnf","cmsat5_main2",9.998,865.435660062893,1685.54768694416,9.89455943441679,7.206,6,"9.89455943441679"
"sat/barman-pfile08-030.sas.cr.27.cnf","BeansAndEggs",7.206,940.982037421383,1647.53956349711,7.14362947886459,7.206,7,"7.14362947886459"
"sat/barman-pfile08-030.sas.cr.27.cnf","glue_alt",9.786,947.140804402516,1649.30433666299,9.64643004847165,7.206,8,"9.64643004847165"
"sat/barman-pfile08-030.sas.cr.27.cnf","glueminisat.2210.81.main",9.94,933.785238050314,1726.03683985393,9.68893742881226,7.206,9,"9.68893742881226"
"sat/barman-pfile08-030.sas.cr.27.cnf","CHBR_glucose_tuned",9.011,1010.13030628931,1678.02824288633,8.86006606428273,7.206,1,"Inf"
"sat/barman-pfile08-030.sas.cr.27.cnf","MapleCMS",33.279,996.076081446541,1708.60318472574,30.6378641797685,7.206,2,"Inf"
"sat/barman-pfile08-030.sas.cr.27.cnf","Glucose_nbSat",16.005,1013.58895691824,1742.50132682466,15.9371531771049,7.206,3,"Inf"
"sat/barman-pfile08-030.sas.cr.27.cnf","tb_glucose",9.213,1101.22815691824,1725.1381688827,9.20904885759162,7.206,4,"Inf"
"sat/barman-pfile08-030.sas.cr.27.cnf","Lingelingbbcmain",44.442,1041.99244119497,1789.57003531636,45.7671805217594,7.206,5,"Inf"
"sat/barman-pfile08-030.sas.cr.27.cnf","COMiniSatPSChandrasekharDRUP",35.62,1000.60492924528,1848.30322430599,36.1131522841835,7.206,6,"Inf"
"sat/barman-pfile08-030.sas.cr.27.cnf","CHBR_glucose",9.276,1124.47884103774,1753.82109902535,8.88651002483305,7.206,7,"Inf"
"sat/barman-pfile08-030.sas.cr.27.cnf","MapleCOMSPS_DRUP",40.584,1101.07052783019,1798.81675213868,41.1383955743784,7.206,8,"Inf"
"sat/barman-pfile08-030.sas.cr.27.cnf","glucose",11.187,1173.72779025157,1839.00376953675,11.0645216305974,7.206,9,"Inf"
"sat/barman-pfile08-030.sas.cr.27.cnf","glucose_hack_kiel_newScript",12.273,1186.2443418239,1864.46422012944,12.1007729635296,7.206,1,"Inf"
"sat/barman-pfile08-030.sas.cr.27.cnf","abcdSAT_drup",18.88,1312.17766698113,1776.87351691382,19.3660020686985,7.206,2,"Inf"
"sat/barman-pfile08-030.sas.cr.27.cnf","Splatz06vmain",39.794,1188.36983757862,1900.68534570048,42.9993470392758,7.206,3,"Inf"
"sat/barman-pfile08-030.sas.cr.27.cnf","MapleGlucose",23.867,1267.65501871069,1924.93578187901,24.5127946598319,7.206,4,"Inf"
"sat/barman-pfile08-030.sas.cr.27.cnf","gulch",13.833,1220.91088694969,2008.8582136978,13.8159234940615,7.206,5,"Inf"
"sat/barman-pfile08-030.sas.cr.27.cnf","Riss6",287.9,1569.46383632075,1775.93415689733,291.326500600388,7.206,6,"Inf"
"sat/barman-pfile08-030.sas.cr.27.cnf","YALSAT03r",5000,5000,0,5000,7.206,7,"Inf"
